::1 - - [06/Oct/2024:15:44:51 +0000] "GET /api/v1/bug/all-bugs?limit=2 HTTP/1.1" 200 906 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:45:54 +0000] "GET /api/v1/bug/all-bugs?limit=2 HTTP/1.1" 200 925 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:47:18 +0000] "GET /api/v1/bug/all-bugs?limit=2&page=2 HTTP/1.1" 200 801 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:47:28 +0000] "GET /api/v1/bug/all-bugs?limit=2&page=3 HTTP/1.1" 200 807 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:47:59 +0000] "GET /api/v1/bug/all-bugs?limit=2&page=3 HTTP/1.1" 200 807 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:48:08 +0000] "GET /api/v1/bug/all-bugs?limit=2&page=1 HTTP/1.1" 200 925 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:48:43 +0000] "GET /api/v1/bug/all-bugs?limit=2&page=1 HTTP/1.1" 200 805 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:16:03:15 +0000] "GET /api/v1/bug/graph-report HTTP/1.1" 200 462 "-" "PostmanRuntime/7.42.0"
::1 - - [07/Oct/2024:04:31:48 +0000] "OPTIONS /api/v1/user/login HTTP/1.1" 204 0 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
::1 - - [07/Oct/2024:04:31:48 +0000] "POST /api/v1/user/login HTTP/1.1" 400 1318 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
::1 - - [07/Oct/2024:04:33:52 +0000] "OPTIONS /api/v1/user/login HTTP/1.1" 204 0 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
::1 - - [07/Oct/2024:04:33:52 +0000] "POST /api/v1/user/login HTTP/1.1" 400 1318 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
::1 - - [07/Oct/2024:04:34:06 +0000] "OPTIONS /api/v1/user/login HTTP/1.1" 204 0 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
::1 - - [07/Oct/2024:04:34:06 +0000] "POST /api/v1/user/login HTTP/1.1" 400 1310 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
